id;line_1;line_2;ward;district;city;country;postal_code;customer_id
1;upon;even meh;parched boo mechanically;or;Hazelworth;Qatar;yuck around the;1
2;finally trick mechanically;yahoo eek ouch;ick upwardly ha;fiercely knavishly apud;Greenwood;Libyan Arab Jamahiriya;enhance;2
3;enroll whenever millet;drum better detective;as swiftly;communicate;Cleoratown;Montenegro;yum;1
4;as meaty;between;platter;why;Port Irwinhaven;Tajikistan;glider;2
5;hairy off;that as;nor who;provider;Schultzboro;Spain;eek up overfeed;2
6;handful wriggler;into really;glum scholarship yippee;internalise or making;South Barrymouth;New Zealand;shyly or;2
7;forenenst premeditation;amidst;cash decouple;paltry;Macfurt;India;furthermore;2
8;whimsical consequently;abnegate intent;flustered;weary;Treutelcester;Central African Republic;so jittery;1
9;convince remark;dicker;enrich utter;manner;Roanoke;French Southern Territories;unless quiet;2
10;plastic oof;why descriptive reapply;shirk properly ouch;surface;Wymanmouth;Bahrain;off;1
