id;code;order_date;status;total_amount;payment_method;shipping_address;note;customer_id
1;pace peaceful;2025-09-08T15:47:42;COMPLETED;28454;COD;towards equally obediently;regarding famously;1
2;gosh compromise;2025-09-09T02:55:56;REFUNDED;11987.17;COD;ugh;nervously jealous;2
3;utterly;2025-09-08T10:20:19;CANCELED;18652.28;BANK_TRANSFER;duh ha;because;1
4;wherever mechanically;2025-09-08T19:49:12;REFUNDED;18311.97;BANK_TRANSFER;wherever obediently;hotfoot satirise;1
5;before strict;2025-09-08T11:00:51;PENDING;787.87;BANK_TRANSFER;colorfully inasmuch;awkwardly queasily fictionalize;1
6;till;2025-09-09T01:31:36;PENDING;28587.26;BANK_TRANSFER;pink difficult amongst;toward failing;1
7;thick pish outnumber;2025-09-08T12:52:05;PAID;24773.83;COD;upside-down responsibility gee;oil beside;1
8;phooey youthfully;2025-09-08T12:42:26;COMPLETED;28586.2;COD;tremendously;fair while;2
9;fruitful;2025-09-08T20:14:08;COMPLETED;5711.38;CREDIT_CARD;instead oof;uncork glum provided;2
10;mmm now gripping;2025-09-08T12:50:49;PENDING;13812.75;CREDIT_CARD;inside degrease;psst phew;2
