id;code;full_name;email;phone;role;hired_at;active;department_id
1;casket lightly;slip woot;"A'&`@O}.xQ?2m.";433-492-5337 x2973;ADMIN;2025-09-08;true;1
2;rout on;whenever;"v_'-8x@l*&,X5.tLbg[8";1-763-553-1711;ADMIN;2025-09-08;false;2
3;positively fortunately;that whether yippee;"5PePg;@yg9=.S0m";(761) 918-1478;MANAGER;2025-09-08;true;3
4;noon times hmph;burdensome properly at;"Yfs7+@wTEs.hOniL";305.665.5143;MANAGER;2025-09-08;false;4
5;cap;ouch insist;"_hv^@L#.T+;{";(202) 609-5894 x751;MANAGER;2025-09-08;false;5
6;like mortar;who as fort;"U1HV@/.AFE^.Ff";896-994-5956 x9170;MANAGER;2025-09-08;false;6
7;yak times;tentacle;"UJUb@1ol0.Kk";(684) 607-6070;MANAGER;2025-09-08;false;7
8;psst gown;aha;"4@^ww`v:.6";399-727-4828 x80359;MANAGER;2025-09-09;true;8
9;per;consequently during eek;"f@SA6B!.l'L,s#";875.808.7074 x52572;MANAGER;2025-09-08;false;9
10;pfft daily metabolise;reservation castanet kindly;"C1_@NZL.A.{'";(945) 908-4228;MANAGER;2025-09-08;true;10
